LumiCycle: Ca1a-Bmal1-1 (Raw),,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
0.38194,2152.856,0.38194,2995.434,0.38194,4257.146,0.38194,3450.321,0.38194,2636.798
0.38889,2155.99,0.38889,2989.831,0.38889,4300.738,0.38889,3469.062,0.38889,2634.681
0.39583,2158.764,0.39583,2986.403,0.39583,4321.107,0.39583,3509.492,0.39583,2646.897
0.40278,2147.624,0.40278,2986.518,0.40278,4371.133,0.40278,3529.232,0.40278,2634.744
0.40972,2143.941,0.40972,2969.982,0.40972,4398.179,0.40972,3535.766,0.40972,2646.22
0.41667,2146.624,0.41667,2966.698,0.41667,4454.447,0.41667,3567.607,0.41667,2661.365
0.42361,2135.828,0.42361,2952.424,0.42361,4477.022,0.42361,3575.995,0.42361,2643.267
0.43056,2140.989,0.43056,2970.717,0.43056,4502.939,0.43056,3580.417,0.43056,2641.149
0.4375,2131.982,0.4375,2961.988,0.4375,4514.032,0.4375,3599.43,0.4375,2642.018
0.44444,2125.751,0.44444,2957.229,0.44444,4519.188,0.44444,3586.524,0.44444,2655.161
0.45139,2123.327,0.45139,2944.963,0.45139,4524.245,0.45139,3591.665,0.45139,2645.384
0.45833,2109.925,0.45833,2955.793,0.45833,4526.191,0.45833,3611.828,0.45833,2644.178
0.46528,2115.735,0.46528,2940.008,0.46528,4528.59,0.46528,3589.995,0.46528,2657.54
0.47222,2105.597,0.47222,2946.831,0.47222,4499.495,0.47222,3592.233,0.47222,2665.763
0.47917,2088.817,0.47917,2950.422,0.47917,4491.587,0.47917,3580.633,0.47917,2654.58
0.48611,2095.727,0.48611,2947.503,0.48611,4496.394,0.48611,3571.256,0.48611,2662.027
0.49306,2092.758,0.49306,2956.745,0.49306,4462.617,0.49306,3570.128,0.49306,2669.226
0.5,2098.304,0.5,2940.374,0.5,4450.359,0.5,3580.044,0.5,2679.997
0.50694,2079.808,0.50694,2935.188,0.50694,4442.911,0.50694,3550.413,0.50694,2681.912
0.51389,2086.237,0.51389,2943.35,0.51389,4414.04,0.51389,3549.133,0.51389,2685.779
0.52083,2081.614,0.52083,2938.285,0.52083,4386.712,0.52083,3532.394,0.52083,2698.153
