,,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
0.44444,2715.129,0.44444,2153.808,0.44444,2297.358,0.44444,2797.576,0.44444,3083.341
0.45139,2754.479,0.45139,2180.121,0.45139,2320.317,0.45139,2834.204,0.45139,3141.135
0.45833,2801.573,0.45833,2204.919,0.45833,2348.659,0.45833,2881.16,0.45833,3183.963
0.46528,2838.012,0.46528,2233.908,0.46528,2374.564,0.46528,2915.121,0.46528,3231.448
0.47222,2860.589,0.47222,2251.89,0.47222,2388.834,0.47222,2959.997,0.47222,3253.284
0.47917,2900.616,0.47917,2259.816,0.47917,2412.226,0.47917,2981.867,0.47917,3287.659
0.48611,2934.349,0.48611,2271.718,0.48611,2439.16,0.48611,3013.214,0.48611,3336.747
0.49306,2966.223,0.49306,2275.894,0.49306,2454.556,0.49306,3067.989,0.49306,3366.711
0.5,2984.07,0.5,2280.854,0.5,2465.85,0.5,3080.432,0.5,3391.381
0.50694,3012.805,0.50694,2281.481,0.50694,2471.863,0.50694,3093.259,0.50694,3403.333
0.51389,3040.935,0.51389,2293.068,0.51389,2467.549,0.51389,3124.046,0.51389,3427.491
0.52083,3059.99,0.52083,2279.271,0.52083,2475.644,0.52083,3140.719,0.52083,3446.992
0.52778,3058.099,0.52778,2272.175,0.52778,2484.01,0.52778,3149.503,0.52778,3449.24
0.53472,3086.898,0.53472,2280.682,0.53472,2488.578,0.53472,3176.23,0.53472,3477.627
0.54167,3102.509,0.54167,2271.83,0.54167,2474.117,0.54167,3208.131,0.54167,3480.699
0.54861,3132.649,0.54861,2270.353,0.54861,2479.356,0.54861,3211.566,0.54861,3490.709
0.55556,3139.785,0.55556,2275.933,0.55556,2480.656,0.55556,3222.68,0.55556,3515.902
0.5625,3147.707,0.5625,2258.611,0.5625,2474.909,0.5625,3242.661,0.5625,3503.241
0.56944,3161.188,0.56944,2262.265,0.56944,2462.537,0.56944,3240.465,0.56944,3508.7
0.57639,3171.372,0.57639,2245.809,0.57639,2467.693,0.57639,3264.072,0.57639,3521.364
0.58333,3205.341,0.58333,2236.642,0.58333,2462.06,0.58333,3272.23,0.58333,3515.253
0.59028,3197.053,0.59028,2241.994,0.59028,2460.261,0.59028,3268.017,0.59028,3519.617
0.59722,3205.407,0.59722,2228.677,0.59722,2444.705,0.59722,3284.369,0.59722,3515.902
0.60417,3213.156,0.60417,2214.78,0.60417,2443.423,0.60417,3294.481,0.60417,3525.135
0.61111,3222.115,0.61111,2201.552,0.61111,2421.386,0.61111,3297.727,0.61111,3519.128
0.61806,3226.126,0.61806,2201.48,0.61806,2421.355,0.61806,3305.285,0.61806,3522.211
0.625,3254.645,0.625,2192.363,0.625,2403.077,0.625,3312.44,0.625,3508.009
0.63194,3236.856,0.63194,2161.31,0.63194,2396.912,0.63194,3318.148,0.63194,3528.101
0.63889,3249.474,0.63889,2162.459,0.63889,2387.866,0.63889,3317.836,0.63889,3521.534
0.64583,3232.074,0.64583,2162.555,0.64583,2367.01,0.64583,3326.164,0.64583,3516.083
0.65278,3243.274,0.65278,2149.142,0.65278,2360.359,0.65278,3329.649,0.65278,3494.253
0.65972,3239.442,0.65972,2140.605,0.65972,2350.622,0.65972,3320.346,0.65972,3492.121
0.66667,3256.798,0.66667,2128.785,0.66667,2330.976,0.66667,3323.856,0.66667,3487.051
0.67361,3246.12,0.67361,2120.369,0.67361,2307.177,0.67361,3315.479,0.67361,3473.944
0.68056,3237.829,0.68056,2105.118,0.68056,2308.723,0.68056,3330.66,0.68056,3473.31
0.6875,3227.732,0.6875,2108.822,0.6875,2294.118,0.6875,3303.661,0.6875,3461.861
0.69444,3221.142,0.69444,2089.195,0.69444,2290.453,0.69444,3301.976,0.69444,3447.067
0.70139,3208.863,0.70139,2077.712,0.70139,2268.951,0.70139,3291.301,0.70139,3428.979
0.70833,3213.378,0.70833,2069.747,0.70833,2266.975,0.70833,3281.815,0.70833,3405.946
0.71528,3177.63,0.71528,2051.138,0.71528,2242.17,0.71528,3254.176,0.71528,3410.189
0.72222,3174.709,0.72222,2045.111,0.72222,2228.394,0.72222,3257.292,0.72222,3383.739
0.72917,3164.103,0.72917,2027.697,0.72917,2218.492,0.72917,3230.475,0.72917,3364.628
0.73611,3149.324,0.73611,2020.397,0.73611,2214.358,0.73611,3226.502,0.73611,3357.514
0.74306,3132.069,0.74306,2020.413,0.74306,2205.903,0.74306,3204.313,0.74306,3328.051
0.75,3107.493,0.75,2001.414,0.75,2179.178,0.75,3176.51,0.75,3304.895
0.75694,3096.016,0.75694,1993.754,0.75694,2176.101,0.75694,3165.142,0.75694,3283.782
0.76389,3064.138,0.76389,1979.342,0.76389,2166.316,0.76389,3136.526,0.76389,3255.676
0.77083,3052.07,0.77083,1961.064,0.77083,2149.18,0.77083,3111.752,0.77083,3233.889
0.77778,3024.687,0.77778,1951.329,0.77778,2133.764,0.77778,3086.394,0.77778,3194.904
0.78472,3004.163,0.78472,1942.874,0.78472,2127.416,0.78472,3053.505,0.78472,3181.785
